,0,1
0,0,32
1,0,33
2,0,34
3,0,35
4,0,36
5,0,37
6,0,38
7,0,39
8,0,40
9,0,41
10,0,42
11,0,43
12,0,44
13,0,45
14,0,46
15,0,47
16,0,48
17,0,49
18,0,50
19,0,51
20,0,52
21,0,53
22,0,54
23,0,55
24,0,56
25,0,57
26,0,58
27,0,59
28,0,60
29,0,61
30,0,62
31,0,63
32,0,64
33,0,65
34,0,66
35,0,67
36,0,68
37,0,69
38,0,70
39,0,71
40,0,72
41,0,73
42,0,74
43,0,75
44,0,76
45,0,77
46,0,78
47,0,79
48,0,80
49,0,81
50,0,82
51,0,83
52,0,84
53,0,85
54,0,86
55,0,87
56,0,88
57,0,89
58,0,90
59,0,91
60,0,92
61,0,93
62,0,94
63,0,95
64,0,96
65,1,30
66,1,31
67,1,32
68,1,33
69,1,34
70,1,35
71,1,36
72,1,37
73,1,38
74,1,39
75,1,40
76,1,41
77,1,42
78,1,43
79,1,44
80,1,45
81,1,46
82,1,47
83,1,48
84,1,49
85,1,50
86,1,51
87,1,52
88,1,53
89,1,54
90,1,55
91,1,56
92,1,57
93,1,58
94,1,59
95,1,60
96,1,61
97,1,62
98,1,63
99,1,64
100,1,65
101,1,66
102,1,67
103,1,68
104,1,69
105,1,70
106,1,71
107,1,72
108,1,73
109,1,74
110,1,75
111,1,76
112,1,77
113,1,78
114,1,79
115,1,80
116,1,81
117,1,82
118,1,83
119,1,84
120,1,85
121,1,86
122,1,87
123,1,88
124,1,89
125,1,90
126,1,91
127,1,92
128,1,93
129,1,94
130,1,95
131,1,96
132,1,97
133,1,98
134,2,28
135,2,29
136,2,30
137,2,31
138,2,32
139,2,33
140,2,34
141,2,35
142,2,36
143,2,37
144,2,38
145,2,39
146,2,40
147,2,41
148,2,42
149,2,43
150,2,44
151,2,45
152,2,46
153,2,47
154,2,48
155,2,49
156,2,50
157,2,51
158,2,52
159,2,53
160,2,54
161,2,55
162,2,56
163,2,57
164,2,58
165,2,59
166,2,60
