state,value
0,0.0
1,0.0
2,-8.774556294429301
3,-10.556935498227558
4,-8.766132765853724
5,-10.43345483060967
6,-10.045933677984317
7,-10.527148219558036
8,-8.77670458225995
9,-10.514217009400268
10,-9.919527902970518
11,-10.425507280888379
12,-9.574422251320074
13,-10.501221845031452
14,-9.973204448137666
15,-10.511973922706275
16,-8.891563009795854
17,-10.497138666834415
18,-9.861906321019822
19,-10.078130046546455
20,-9.632922045690975
21,-10.312709987874944
22,-9.820859565298276
23,-10.006226289265454
24,-9.56045141566568
25,-10.29663180782901
26,-9.910107551839621
27,-10.211213133035033
28,-9.726493828936938
29,-10.476502203733205
30,-9.942953536324003
31,-10.548996186513756
32,-9.073846162102289
33,-10.473147498875155
34,-9.900002549916147
35,-10.167305588996257
36,-9.546710321055055
37,-10.6259596093506
38,-9.752244294005028
39,-10.432225505663334
40,-9.557594521967172
41,-10.592670887907115
42,-10.394657013742288
43,-10.592910847030545
44,-10.531800925928746
45,-10.66137992841385
46,-10.546861248641108
47,-10.6603332747501
48,-10.41796746085909
49,-10.722710925533773
50,-10.697010059594946
51,-10.686193881709558
52,-10.708102190587324
53,-10.936262053860158
54,-10.944038027507933
55,-10.999283258197247
56,-10.85647834068979
57,-11.09154431005773
58,-11.037183422132529
59,-10.961751979476494
60,-11.113479459038533
61,-11.449447169532938
62,-11.484242403060229
63,-11.613827233147331
64,-11.464161146878675
65,-11.635867247994227
66,-11.710717235780606
67,-11.687430491608238
68,-11.765483823435346
69,-11.891850423765286
70,-11.852950422811936
71,-11.971360666378764
72,-11.979421283438127
73,-12.063255375261116
74,-12.099970672967526
75,-12.14530678488407
76,-12.169537168546345
77,-12.256873063358492
78,-12.27612108609371
79,-12.349755135213805
80,-12.420556945946785
81,-12.563834021401632
82,-12.613102539265073
83,-12.63444774564598
84,-12.714679218063075
85,-12.792015813144102
86,-12.826764735078429
87,-12.895069351620412
88,-12.937364114903255
89,-12.930800852549236
90,-13.06918358702821
91,-13.106186750646172
92,-13.147410239545051
93,-13.187454904979012
94,-13.296826371689479
95,-13.281819589832327
96,-13.366850484529323
97,-13.374560705135892
98,-13.47314501867141
99,-13.548862085270644
100,-13.58593508352306
101,-13.710541605190427
102,-13.745028988266942
103,-13.803689757872554
104,-13.869131547904416
105,-13.898744621981514
106,-13.985959037904083
107,-14.025868183334131
108,-14.058584829062422
109,-14.150319098905507
110,-14.209200744581864
111,-14.255476251582497
112,-14.301857369815014
113,-14.373782221645248
114,-14.404751764764496
115,-14.46216242171358
116,-14.49122648225656
117,-14.574318561957368
118,-14.65946427493395
119,-14.700890313592275
120,-14.779374955068434
121,-14.829417492789759
122,-14.897760936330316
123,-14.955502793135745
124,-14.997244997185383
125,-15.078242616816413
126,-15.129023191962217
127,-15.170759252226395
128,-15.250120167963544
129,-15.305478152420658
130,-15.358509616684495
131,-15.408487254141358
132,-15.476283521761895
133,-15.515549305053714
134,-15.572538541996815
135,-15.618126920578634
136,-15.686312927364998
137,-15.756351457463749
138,-15.811077623380047
139,-15.882779725869847
140,-15.930264940513764
141,-15.995578327665498
142,-16.05358792337207
143,-16.102625116217315
144,-16.176122358545555
145,-16.228247603494115
146,-16.276040218520112
147,-16.350227979444426
148,-16.405748145373792
149,-16.459177671570036
150,-16.51194469179153
151,-16.581582946614073
152,-16.622327879713726
153,-16.67995459389993
154,-16.732206587648292
155,-16.795485106804165
156,-16.859430786631098
157,-16.912656774115458
158,-16.986366809447105
159,-17.033971776169846
160,-17.095744665319696
161,-17.154470389198288
162,-17.205631501644465
163,-17.275317656696462
164,-17.32784038729361
165,-17.38208855708983
166,-17.44952983700253
167,-17.50652165955395
168,-17.56131599850077
169,-17.61549636579611
170,-17.682441841064836
171,-17.72800660121294
172,-17.785214327905855
173,-17.840597969995475
174,-17.90138851558206
175,-17.963551558671533
176,-18.01694931022685
177,-18.08669440095207
178,-18.136477097825054
179,-18.197255327509705
180,-18.255930146910043
181,-18.308828305253346
182,-18.375684370520418
183,-18.429360125024928
184,-18.48661850880087
185,-18.549928386234985
186,-18.60744723653157
187,-18.66365088754751
188,-18.718672835307505
189,-18.78353913994806
190,-18.83260272766675
191,-18.890162645322345
192,-18.947403821602705
193,-19.00635754176263
194,-19.06683284942348
195,-19.121728076472575
196,-19.188282356840325
197,-19.23949977896321
198,-19.299606033016186
199,-19.358422147010057
200,-19.41255793161956
201,-19.476982246535137
202,-19.53169485617302
203,-19.59023137361295
204,-19.651202968482846
205,-19.709006979459648
206,-19.766032599559338
207,-19.821671553463233
208,-19.885261442555496
209,-19.936519145804823
210,-19.994500156733295
211,-20.052650067156776
212,-20.110682341606584
213,-20.170123842079253
214,-20.225788090190406
215,-20.29052054328439
216,-20.342883273732607
217,-20.402397213168268
218,-20.46139160269775
219,-20.516264807292412
220,-20.578903242112066
221,-20.634361997554965
222,-20.693637202211946
223,-20.753009433786687
224,-20.811039973826162
225,-20.868659140948846
226,-20.924677785197005
227,-20.987114802145303
228,-21.040097169814633
229,-21.098357853651073
230,-21.15679336246196
231,-21.214471448319756
232,-21.273450576307475
233,-21.329579439275683
234,-21.392780984810255
235,-21.446246801510014
236,-21.50540411211011
237,-21.564413497237595
238,-21.61986014192432
239,-21.68125588127067
240,-21.7372887921879
241,-21.796834853497806
242,-21.855221133071908
243,-21.913389088978725
244,-21.9714196341405
245,-22.027700352825036
246,-22.08918506025146
247,-22.1434862924633
248,-22.20192908420144
249,-22.260386756915118
250,-22.317950367309752
251,-22.37668259701085
252,-22.433202569648913
253,-22.495171967147982
254,-22.54957801221272
255,-22.608508738708828
256,-22.667445195361026
257,-22.72337213592739
258,-22.78387734377464
259,-22.840363979703525
260,-22.8998911840338
261,-22.957734748271143
262,-23.015978264512672
263,-23.074245668175497
264,-23.130748014264686
265,-23.191498472541806
266,-23.246763382382078
267,-23.305295981740475
268,-23.36368129023586
269,-23.421253314125817
270,-23.479843057109175
271,-23.536647889469275
272,-23.597708842179003
273,-23.652882465589833
274,-23.71164128611807
275,-23.770474897210597
276,-23.826797538731963
277,-23.886663213929225
278,-23.943494023804565
279,-24.00289270110698
280,-24.060455264663023
281,-24.118734465344545
282,-24.17712564549862
283,-24.233823085897242
284,-24.293995477106588
285,-24.349973161459356
286,-24.40852762036004
287,-24.46680702103635
288,-24.524448203436044
289,-24.58295896434582
290,-24.639967853784153
291,-24.700343405463492
292,-24.75614442364501
293,-24.814769915653365
294,-24.873483774159652
295,-24.930140187572913
296,-24.989551306131396
297,-25.046638210538024
298,-25.105867346906184
299,-25.16331233712595
300,-25.22159954444361
301,-25.28004122409296
302,-25.336916460329878
303,-25.396634298877164
304,-25.453139833003995
305,-25.511675087295657
306,-25.56985199566826
307,-25.62757919886572
308,-25.68603845902494
309,-25.743205852854715
310,-25.803058048994767
311,-25.859363430834822
312,-25.91788312418068
