,0,1
2,306,221
3,278,212
4,73,258
5,273,210
6,45,180
7,77,180
8,257,287
9,276,210
10,308,139
11,84,178
12,177,313
13,239,99
14,165,281
15,212,277
16,136,55
17,211,278
18,254,69
19,82,196
20,141,308
21,87,153
22,185,47
23,92,141
24,289,103
25,86,208
26,221,308
27,85,151
28,223,53
29,208,276
30,102,289
31,122,263
32,104,71
33,85,204
34,54,225
35,86,160
36,286,261
37,272,147
38,52,140
39,100,129
40,314,179
41,236,99
42,157,275
43,99,143
44,256,121
45,209,276
46,205,87
47,124,258
48,126,89
49,84,209
50,184,179
51,85,149
52,285,179
53,92,209
54,209,86
55,88,146
56,130,103
57,86,210
58,256,237
59,93,150
60,285,179
61,100,150
62,204,95
63,177,176
64,134,106
65,206,102
66,142,259
67,97,148
68,271,178
69,199,99
70,199,95
71,100,147
72,130,108
73,204,98
74,207,100
75,98,149
76,273,178
77,99,148
78,88,147
79,98,149
80,131,112
81,100,149
82,205,101
83,99,149
84,132,112
85,101,148
86,131,112
87,100,148
88,132,111
89,100,150
90,202,99
91,100,149
92,268,178
93,100,149
94,98,148
95,100,149
96,269,178
97,99,149
98,269,178
99,100,149
100,268,177
101,100,149
102,100,148
103,100,149
104,101,147
105,101,149
106,100,149
107,101,148
108,99,149
109,101,149
110,100,149
111,100,149
112,100,149
113,101,149
114,100,149
115,100,149
116,100,149
117,100,149
118,100,149
119,100,149
120,100,149
121,100,149
122,100,149
123,101,148
124,100,149
125,100,149
126,100,148
127,99,149
128,100,148
129,100,149
130,100,149
131,100,149
132,100,149
133,100,149
134,100,149
135,100,149
136,100,149
137,100,149
138,100,149
139,100,149
140,100,149
141,100,149
142,100,148
143,100,149
144,100,149
145,100,149
146,100,149
147,100,149
148,100,149
149,100,149
150,100,149
151,100,149
152,100,149
153,100,149
154,100,149
155,100,149
156,100,149
157,100,149
158,100,149
159,100,149
160,100,149
161,100,149
162,100,149
163,100,149
164,100,149
165,100,149
166,100,149
167,100,149
168,100,149
169,100,149
170,100,149
171,100,149
172,100,149
173,100,149
174,100,149
175,100,149
176,100,149
177,100,149
178,100,149
179,100,149
180,100,149
181,100,149
182,100,149
183,100,149
184,100,149
185,100,149
186,100,149
187,100,149
188,100,149
189,100,149
190,100,149
191,100,149
192,100,149
193,100,149
194,100,149
195,100,149
196,100,149
197,100,149
198,100,149
199,100,149
200,100,149
201,100,149
202,100,149
203,100,149
204,100,149
205,100,149
206,100,149
207,100,149
208,100,149
209,100,149
210,100,149
211,100,149
212,100,149
213,100,149
214,100,149
215,100,149
216,100,149
217,100,149
218,100,149
219,100,149
220,100,149
221,100,149
222,100,149
223,100,149
224,100,149
225,100,149
226,100,149
227,100,149
228,100,149
229,100,149
230,100,149
231,100,149
232,100,149
233,100,149
234,100,149
235,100,149
236,100,149
237,100,149
238,100,149
239,100,149
240,100,149
241,100,149
242,100,149
243,100,149
244,100,149
245,100,149
246,100,149
247,100,149
248,100,149
249,100,149
250,100,149
251,100,149
252,100,149
253,100,149
254,100,149
255,100,149
256,100,149
257,100,149
258,100,149
259,100,149
260,100,149
261,100,149
262,100,149
263,100,149
264,100,149
265,100,149
266,100,149
267,100,149
268,100,149
269,100,149
270,100,149
271,100,149
272,100,149
273,100,149
274,100,149
275,100,149
276,100,149
277,100,149
278,100,149
279,100,149
280,100,149
281,100,149
282,100,149
283,100,149
284,100,149
285,100,149
286,100,149
287,100,149
288,100,149
289,100,149
290,100,149
291,100,149
292,100,149
293,100,149
294,100,149
295,100,149
296,100,149
297,100,149
298,100,149
299,100,149
300,100,149
301,100,149
302,100,149
303,100,149
304,100,149
305,100,149
306,100,149
307,100,149
308,100,149
