state,value
0,0.0
1,-2.4085084467893
2,-2.4517135446668954
3,-2.4261758909085724
4,-2.5274292841365407
5,-2.4135865103016827
6,-2.427539393639614
7,-2.396124179102775
8,-2.4085088971541198
9,-2.3960400278289016
10,-2.443975583155273
11,-2.4274798002431006
12,-2.4732035247204736
13,-2.4036521928642522
14,-2.4148251660714823
15,-2.4376418190143787
16,-2.4346551579810836
17,-2.4173827692287184
18,-2.4043811422646435
19,-2.429700963988044
20,-2.429390084402931
21,-3.3715018035618685
22,-3.466029585430883
23,-3.4930370715042467
24,-3.373033963488787
25,-3.3190635957718357
26,-3.48198305408251
27,-3.396349673505851
28,-3.486861919978995
29,-3.537544674205196
30,-3.559053460790343
31,-3.7299427847406865
32,-3.8781497704587204
33,-3.9200158455654686
34,-3.9740656777653367
35,-3.997887774047103
36,-4.030365341404354
37,-4.165012017997508
38,-4.116971621071954
39,-4.250972017345119
40,-4.241854691005872
41,-4.531483721427494
42,-4.416797207220934
43,-4.6045217810224734
44,-4.635319184767531
45,-4.687478148676885
46,-4.821584701837712
47,-4.837073393478965
48,-4.875480918881848
49,-4.960490313925781
50,-5.046145829597839
51,-5.088748641066549
52,-5.177003404669359
53,-5.217135638634095
54,-5.30077681800484
55,-5.416083073307121
56,-5.433347704949986
57,-5.382141111433311
58,-5.579698714523798
59,-5.623320077461924
60,-5.632146401908853
61,-5.765566004648332
62,-5.828776880256278
63,-5.908157355175908
64,-5.939866516310279
65,-6.036106019141337
66,-6.102705970411995
67,-6.139819834073144
68,-6.228516670554603
69,-6.306849945445778
70,-6.360112035237673
71,-6.407831257744208
72,-6.4912035341203485
73,-6.5498255816380135
74,-6.6250779023293225
75,-6.679457272713299
76,-6.6991598495867954
77,-6.810922024093708
78,-6.897611268258576
79,-6.950340187991883
80,-7.030585595298337
81,-7.101821691518128
82,-7.165038779888432
83,-7.209572087493881
84,-7.294342167911931
85,-7.36685379389607
86,-7.415264322390273
87,-7.493864352773304
88,-7.570586534425684
89,-7.634921052847012
90,-7.688299844944638
91,-7.766677834285117
92,-7.826006040763882
93,-7.890047894849257
94,-7.962441293294447
95,-8.00652849427421
96,-8.093077871084654
97,-8.159566509159182
98,-8.232718212943901
99,-8.296220142059767
100,-8.36975037039806
101,-8.436963957121016
102,-8.487083475701342
103,-8.570968452351922
104,-8.636642285074672
105,-8.694854655499048
106,-8.768938704498984
107,-8.841653671803572
108,-8.904765151349947
109,-8.96460113273356
110,-9.040360575352057
111,-9.102373192195117
112,-9.168448989559472
113,-9.23841374646625
114,-9.292230541805628
115,-9.371547311446228
116,-9.435494564993325
117,-9.503599951191616
118,-9.571488951440715
119,-9.640938121641177
120,-9.709725273355705
121,-9.76473966764175
