state,target,point
0,0.0,[ 63 267]
1,0.0,[ 63 267]
2,2.0,[510 366]
3,1.0,[474 357]
4,4.0,[123 432]
5,1.0,[471 357]
6,6.0,[ 78 300]
7,3.0,[117 300]
8,8.0,[432 477]
9,1.0,[474 357]
10,10.0,[513 234]
11,3.0,[120 300]
12,12.0,[300 522]
13,9.0,[408 153]
14,14.0,[120 168]
15,7.0,[153 192]
16,16.0,[231  90]
17,9.0,[408 153]
18,18.0,[432 120]
19,3.0,[123 321]
20,20.0,[231 510]
21,19.0,[129 243]
22,22.0,[300  78]
23,19.0,[138 228]
24,24.0,[480 171]
25,17.0,[126 354]
26,26.0,[366 513]
27,19.0,[129 246]
28,28.0,[369  90]
29,13.0,[357 474]
30,30.0,[168 480]
31,15.0,[192 447]
32,32.0,[171 120]
33,17.0,[126 354]
34,34.0,[ 90 372]
35,19.0,[126 261]
36,36.0,[480 429]
37,5.0,[474 243]
38,38.0,[ 87 234]
39,7.0,[153 198]
40,40.0,[522 300]
41,9.0,[408 153]
42,10.0,[249 474]
43,11.0,[300 120]
44,12.0,[450 192]
45,13.0,[357 474]
46,14.0,[357 126]
47,15.0,[195 444]
48,16.0,[195 144]
49,17.0,[126 357]
50,18.0,[450 408]
51,19.0,[126 243]
52,20.0,[486 300]
53,13.0,[357 474]
54,14.0,[357 126]
55,15.0,[195 447]
56,16.0,[189 147]
57,17.0,[126 357]
58,18.0,[450 408]
59,19.0,[129 243]
60,20.0,[489 300]
61,50.0,[300 300]
62,30.0,[258 429]
63,50.0,[300 297]
64,48.0,[225 186]
65,50.0,[300 300]
66,42.0,[342 171]
67,51.0,[168 342]
68,60.0,[438 300]
69,57.0,[168 258]
70,54.0,[411 381]
71,39.0,[342 432]
72,60.0,[438 300]
73,57.0,[171 255]
74,42.0,[342 171]
75,51.0,[168 342]
76,60.0,[438 300]
77,57.0,[168 255]
78,54.0,[411 381]
79,57.0,[168 255]
80,60.0,[438 300]
81,57.0,[171 255]
82,50.0,[300 300]
83,51.0,[168 342]
84,50.0,[300 300]
85,50.0,[300 300]
86,54.0,[411 381]
87,51.0,[168 342]
88,48.0,[222 189]
89,57.0,[171 258]
90,54.0,[411 381]
91,51.0,[171 342]
92,60.0,[438 300]
93,57.0,[171 258]
94,54.0,[411 381]
95,57.0,[171 258]
