state,target,point
0,0.0,[ 63 267]
1,0.0,[ 63 267]
2,0.0,[516 369]
3,1.0,[453 351]
4,4.0,[120 429]
5,1.0,[450 348]
6,0.0,[ 66 306]
7,5.0,[450 258]
8,8.0,[423 483]
9,20.0,[444 288]
10,0.0,[522 231]
11,57.0,[165 255]
12,0.0,[294 531]
13,9.0,[375 192]
14,10.0,[270 456]
15,13.0,[351 447]
16,0.0,[225  81]
17,13.0,[348 438]
18,18.0,[420 111]
19,17.0,[159 336]
20,0.0,[237 525]
21,3.0,[153 294]
22,0.0,[309  66]
23,19.0,[156 246]
24,24.0,[486 177]
25,17.0,[153 327]
26,0.0,[372 516]
27,19.0,[156 261]
28,0.0,[372  81]
29,17.0,[174 321]
30,30.0,[168 480]
31,57.0,[162 267]
32,32.0,[174 114]
33,3.0,[183 306]
34,0.0,[ 84 378]
35,57.0,[162 270]
36,36.0,[480 435]
37,19.0,[189 264]
38,0.0,[ 78 231]
39,19.0,[180 270]
40,0.0,[537 300]
41,19.0,[171 279]
42,30.0,[267 432]
43,19.0,[174 267]
44,12.0,[390 222]
45,19.0,[177 252]
46,11.0,[315 174]
47,7.0,[189 240]
48,8.0,[237 171]
49,42.0,[339 174]
50,9.0,[315 276]
51,19.0,[183 264]
52,9.0,[366 228]
53,17.0,[186 342]
54,14.0,[324 174]
55,3.0,[180 300]
56,48.0,[231 183]
57,19.0,[183 276]
58,18.0,[408 366]
59,57.0,[174 252]
60,56.0,[333 231]
61,14.0,[318 213]
62,14.0,[333 213]
63,14.0,[321 207]
64,14.0,[324 207]
65,14.0,[318 207]
66,32.0,[279 219]
67,11.0,[309 204]
68,44.0,[312 219]
69,11.0,[312 210]
70,44.0,[303 216]
71,7.0,[228 234]
72,8.0,[288 228]
73,11.0,[309 213]
74,44.0,[306 222]
75,16.0,[246 228]
76,11.0,[297 228]
77,11.0,[309 225]
78,16.0,[258 243]
79,11.0,[291 231]
80,16.0,[264 234]
81,7.0,[249 249]
82,11.0,[303 231]
83,28.0,[234 246]
84,8.0,[279 243]
85,28.0,[234 252]
86,8.0,[279 234]
87,28.0,[231 252]
88,8.0,[276 237]
89,28.0,[228 255]
90,8.0,[273 243]
91,28.0,[243 246]
92,8.0,[273 243]
93,7.0,[246 252]
94,8.0,[276 240]
95,28.0,[240 252]
