sigma,legs,seed,fix_mu,fitted,darts,mu_y
6.5,25,0,False,4.801465450904251,117,99.21807287859048
6.5,25,0,True,6.227856652463398,117,103.0
6.5,25,1,False,4.40806051551409,132,106.52513298185447
6.5,25,1,True,6.026547560041056,132,103.0
6.5,25,2,False,4.994401300841853,135,107.83343499612431
6.5,25,2,True,7.109294040913871,135,103.0
6.5,25,3,False,4.704077633729335,138,98.97455959173985
6.5,25,3,True,6.2159918591154355,138,103.0
6.5,25,4,False,6.692165490512404,129,102.31406967004213
6.5,25,4,True,6.769890824535806,129,103.0
6.5,25,5,False,2.1504576687823715,129,107.19005587355088
6.5,25,5,True,5.787314872441382,129,103.0
6.5,25,6,False,2.1343039343948984,129,107.1431954123531
6.5,25,6,True,5.754346807106295,129,103.0
6.5,25,7,False,6.574665275631172,138,103.95851832012576
6.5,25,7,True,6.576284233309393,138,103.0
6.5,25,8,False,4.471028956796845,126,100.49648588419477
6.5,25,8,True,5.462944115436997,126,103.0
6.5,25,9,False,6.275473905710132,123,102.9585884917299
6.5,25,9,True,6.276452311436408,123,103.0
6.5,25,10,False,2.176946492302861,120,106.8855080733394
6.5,25,10,True,5.339996468893004,120,103.0
6.5,25,11,False,4.791824338495845,120,107.03786109991697
6.5,25,11,True,6.455978596632034,120,103.0
6.5,50,0,False,4.6501276724797735,279,107.42253130719843
6.5,50,0,True,6.361829135247566,279,103.0
6.5,50,1,False,6.973862142237026,294,105.40488959955294
6.5,50,1,True,7.035512858366422,294,103.0
6.5,50,2,False,6.869713501716495,285,104.57932174792353
6.5,50,2,True,6.95684273139275,285,103.0
6.5,50,3,False,4.699529673386699,255,99.18345374251697
6.5,50,3,True,6.2954789781759315,255,103.0
6.5,50,4,False,6.884320250629886,270,102.62179353636847
6.5,50,4,True,6.909378919467609,270,103.0
6.5,50,5,False,4.529298216380465,264,106.87932144242549
6.5,50,5,True,6.600485509511069,264,103.0
6.5,50,6,False,6.725346966437939,270,100.29478009364072
6.5,50,6,True,7.064381962456997,270,103.0
6.5,50,7,False,6.335953304674647,264,102.75350645956738
6.5,50,7,True,6.4049802032313385,264,103.0
6.5,50,8,False,7.009212803191066,279,102.19002226271753
6.5,50,8,True,7.077735568025343,279,103.0
6.5,50,9,False,4.757955609495367,249,99.05267745167208
6.5,50,9,True,6.243170522089593,249,103.0
6.5,50,10,False,3.642443870618963,258,106.8968755776861
6.5,50,10,True,6.187235667722561,258,103.0
6.5,50,11,False,5.744991145783806,270,100.99004139860179
6.5,50,11,True,5.98127888070336,270,103.0
6.5,100,0,False,6.365431083777081,543,103.75084135204142
6.5,100,0,True,6.436585582168791,543,103.0
6.5,100,1,False,6.742496755992405,537,104.79535022995643
6.5,100,1,True,6.784838827240844,537,103.0
6.5,100,2,False,6.66396099525609,537,102.23981206488168
6.5,100,2,True,6.716442208552542,537,103.0
6.5,100,3,False,6.2579983513319455,543,101.72769790999986
6.5,100,3,True,6.48900966507571,543,103.0
6.5,100,4,False,6.503132717451586,519,103.78756724406219
6.5,100,4,True,6.520846398692724,519,103.0
6.5,100,5,False,6.829877711971856,534,103.15895703687593
6.5,100,5,True,6.827817767258463,534,103.0
6.5,100,6,False,5.618511244401459,519,101.37951742939998
6.5,100,6,True,5.80024617553192,519,103.0
6.5,100,7,False,6.9174842572900035,564,103.69851156439297
6.5,100,7,True,6.937876707494816,564,103.0
6.5,100,8,False,5.683018483239979,531,100.61936727554192
6.5,100,8,True,6.071636182173832,531,103.0
6.5,100,9,False,6.687667176120736,543,104.28737490096685
6.5,100,9,True,6.727560154857357,543,103.0
6.5,100,10,False,6.632678586714449,546,102.76437498568853
