source,player,model,n_train,n_test,n_params,train_ll,test_ll,test_ll_per_visit,bic,sigma,bias_x,tau,nu,eps,kappa,s_hit,s_miss,seconds,nfev
dartsviz_pdc_2017,Peter Wright,A gaussian iid,682,685,2,-73138.63506276719,-81109.67702180223,-118.40828762306894,146290.32018485008,12.826095227008892,0.423465699471393,0.0,0.0,0.0,1.0,0.0,0.0,0.07405352592468262,59
dartsviz_pdc_2017,Peter Wright,B + aim rule,682,685,4,-5182.332972468822,-7028.913430465989,-10.261187489731372,10390.766063569017,14.569505002976552,1.5230502316664127,0.0,0.0,0.0,1.0,0.023168790443450663,0.13052503847790609,0.21808576583862305,187
dartsviz_pdc_2017,Peter Wright,C + wide tail,682,685,6,-2965.650845793502,-2937.5158131661856,-4.288344252797351,5970.451869534065,6.702248629944793,-0.2651732674866458,0.0,0.0,0.11958058857145183,6.258418424946239,0.024657431092514188,0.12880771620484058,2.5216188430786133,230
dartsviz_pdc_2017,Peter Wright,D + shared offset,682,685,7,-2964.5634524283414,-2935.1228490481126,-4.2848508745227925,5974.802112461587,5.770674603255418,-0.20912701915729334,3.4725185581387437,0.0,0.11828816955649879,7.304439241915392,0.024643656816281327,0.12878623184842763,25.29938578605652,441
dartsviz_pdc_2017,Peter Wright,E + shared scale,682,685,7,-2947.18476355178,-2923.593357162499,-4.268019499507298,5940.044734708465,6.6628838915199635,-0.29738841524240633,0.0,0.31727181271968347,0.13094487380458097,5.633913105303448,0.024318941941738868,0.1264875709604104,28.07976460456848,342
dartsviz_pdc_2017,Michael van Gerwen,A gaussian iid,551,546,2,-162508.32667384745,-156203.44733910437,-286.08689988846953,325029.2768173132,12.077621070291169,-1.1983318576612874,0.0,0.0,0.0,1.0,0.0,0.0,0.08117318153381348,68
dartsviz_pdc_2017,Michael van Gerwen,B + aim rule,551,546,4,-5045.435985703447,-5525.030277297768,-10.119103071973935,10116.118910643505,11.696172868854745,-1.6311494343518271,0.0,0.0,0.0,1.0,0.1005355348250476,0.4043655373059076,0.1557750701904297,136
dartsviz_pdc_2017,Michael van Gerwen,C + wide tail,551,546,6,-2359.859960582025,-2242.1552857608876,-4.106511512382578,4757.5903300189675,5.72929125786111,-5.545978632221994,0.0,0.0,0.05729967413093029,8.884794889975266,0.09843143287690478,0.39838950584364247,2.6063685417175293,220
dartsviz_pdc_2017,Michael van Gerwen,D + shared offset,551,546,7,-2355.708409809597,-2237.9297564038934,-4.098772447626178,4755.598963283264,4.398170905248274,-5.486542534660792,3.7192312532262757,0.0,0.058422853144431894,11.42969016579085,0.09846338857165472,0.3985294436662163,20.940659999847412,376
dartsviz_pdc_2017,Michael van Gerwen,E + shared scale,551,546,7,-2352.6795465049127,-2229.0694476561653,-4.082544775927043,4749.541236673896,6.200263782897926,-4.24398929670487,0.0,0.292451993291649,0.052271851047629055,8.482816141744399,0.09782730669298659,0.39688742124315896,31.8054039478302,400
dartsviz_pdc_2017,Daryl Gurney,A gaussian iid,468,466,2,-112904.42190740854,-110870.12655630747,-237.91872651568127,225821.1407514089,15.273068039854099,-2.1338643824249743,0.0,0.0,0.0,1.0,0.0,0.0,0.09286904335021973,70
dartsviz_pdc_2017,Daryl Gurney,B + aim rule,468,466,4,-3927.2075758294923,-3294.2484492197805,-7.069202680729143,7879.009024842655,21.613379720909354,-2.2332283750723017,0.0,0.0,0.0,1.0,8.49690776128897e-14,0.3395033352912746,0.6756017208099365,582
dartsviz_pdc_2017,Daryl Gurney,C + wide tail,468,466,6,-2264.183218253722,-2338.537490949912,-5.018320796029854,4565.257246282949,7.680184554811569,-2.6754216451673045,0.0,0.0,0.11541852074414466,55585077327800.07,3.302733447511086e-15,0.25785706007006165,9.585179567337036,844
dartsviz_pdc_2017,Daryl Gurney,D + shared offset,468,466,7,-2256.6498988713684,-2338.803609130313,-5.018891865086508,4556.33907581416,4.97256999449633,-2.9449134435108126,5.818263022880537,0.0,0.11841696033177554,inf,0.0,0.258101867642165,152.7219169139862,3006
dartsviz_pdc_2017,Daryl Gurney,E + shared scale,468,466,7,-2246.3616845776364,-2316.1301219437983,-4.970236313184117,4535.762647226697,7.485708038209545,-3.416584484300855,0.0,0.3687817647637515,0.11416751693954544,28739247.04671914,1.1281044664911218e-22,0.2581035549854478,89.51691794395447,1073
dartsviz_pdc_2017,Raymond van Barneveld,A gaussian iid,442,424,2,-62716.600675554735,-61823.54707190725,-145.81025252808314,125445.38397087362,17.320604212265508,-2.2514198946981026,0.0,0.0,0.0,1.0,0.0,0.0,0.08042049407958984,73
dartsviz_pdc_2017,Raymond van Barneveld,B + aim rule,442,424,4,-5469.737970873268,-3867.249581844878,-9.120871655294524,10963.841181274847,18.702455075303483,-0.5735145685117249,0.0,0.0,0.0,1.0,0.015817291485154664,0.17135700461092523,0.16055583953857422,156
dartsviz_pdc_2017,Raymond van Barneveld,C + wide tail,442,424,6,-1916.9477858404775,-1787.773641769482,-4.21644726832425,3870.443430973421,7.438698506617621,-3.835623811094437,0.0,0.0,0.08541926441980868,26591684.615017995,0.0069379795570854285,0.10607392994605873,12.402292728424072,1050
