source,player,model,n,t20_lift_12,t20_lift_23,t20_lift_13,treble_lift_12,dir_corr,mag_corr,switch_rate,p_t20,p_k0,p_k1,p_k2,p_k3
dartsviz_pdc_2017,Peter Wright,OBSERVED,653,4.067104739147753,10.00978665100803,10.593389088012744,0.08946677800310554,0.024615980741269382,0.019343163496397357,0.08499234303215926,0.38795303726391017,0.20214395099540583,0.42725880551301687,0.2879019908116386,0.08269525267993874
dartsviz_pdc_2017,Peter Wright,A gaussian iid,15000,0.02340292749347661,1.1536873002159387,1.3168820853491192,0.02340292749347661,-0.0037432422952833775,-0.0018196211148529466,0.0,0.33026666666666665,0.3038,0.4397333333333333,0.21833333333333332,0.03813333333333333
dartsviz_pdc_2017,Peter Wright,B + aim rule,15000,2.109268925689384,7.614665247907077,2.6591265202206253,-0.725374594257644,-0.00010065293910839276,-0.0039681850425815155,0.1081,0.2132888888888889,0.443,0.41213333333333335,0.13126666666666667,0.0136
dartsviz_pdc_2017,Peter Wright,C + wide tail,15000,5.518595010935156,10.502587020157295,4.46022874006487,0.6726636140196252,0.0013036100129763912,-0.00909225473741874,0.10283333333333333,0.37762222222222225,0.20366666666666666,0.4235333333333333,0.30106666666666665,0.07173333333333333
dartsviz_pdc_2017,Peter Wright,D + shared offset,15000,9.172408063201853,13.3552533466539,7.616358802008527,4.046462682288587,0.007548399005916794,0.007931092929404563,0.10276666666666667,0.37333333333333335,0.22173333333333334,0.4098,0.2882,0.08026666666666667
dartsviz_pdc_2017,Peter Wright,E + shared scale,15000,8.088989930902486,12.450762255703735,6.717586094474997,3.159961051749466,4.0512958402279116e-05,0.013925223388485768,0.10326666666666667,0.38108888888888887,0.20986666666666667,0.4070666666666667,0.30266666666666664,0.0804
dartsviz_pdc_2017,Michael van Gerwen,OBSERVED,542,36.86094069529653,29.854311666863275,29.91081572369916,18.166325835037494,-0.026229738523728445,-0.01790159554460439,0.26845018450184505,0.36162361623616235,0.18450184501845018,0.3284132841328413,0.36162361623616235,0.12546125461254612
dartsviz_pdc_2017,Michael van Gerwen,A gaussian iid,15000,1.2325957125326192,0.8069919778119716,0.8654242979548366,1.2325957125326192,0.005528244963157486,-0.0032815503705267606,0.0,0.4346888888888889,0.18493333333333334,0.4110666666666667,0.319,0.085
dartsviz_pdc_2017,Michael van Gerwen,B + aim rule,15000,10.350602481433318,20.95361967692433,7.836550089609817,0.12093194210689995,0.002244708787271492,-0.002893746619606264,0.3071333333333333,0.24395555555555556,0.2985333333333333,0.4401333333333333,0.22173333333333334,0.0396
dartsviz_pdc_2017,Michael van Gerwen,C + wide tail,15000,16.333140516310657,30.03174940402128,11.60319924640438,1.1109366319974057,0.004134859513782786,-0.008289443204382789,0.25603333333333333,0.39113333333333333,0.1298,0.36993333333333334,0.3695333333333333,0.13073333333333334
dartsviz_pdc_2017,Michael van Gerwen,D + shared offset,15000,21.77396290578468,32.38682763166957,17.110862899381765,7.715334221763337,0.013208816059639788,0.03027379879531726,0.255,0.3983111111111111,0.14973333333333333,0.33826666666666666,0.358,0.154
dartsviz_pdc_2017,Michael van Gerwen,E + shared scale,15000,19.28329809965707,30.52929674875574,14.275654970906619,3.9775004087195143,-0.004745611351302431,0.008919303285964866,0.258,0.39415555555555554,0.13653333333333334,0.3566,0.3654,0.14146666666666666
dartsviz_pdc_2017,Raymond van Barneveld,OBSERVED,404,12.629399585921325,18.81331778727815,5.1606471896327,6.456560079748486,-0.030779395029436277,0.0969030115122513,0.1150990099009901,0.3704620462046205,0.24504950495049505,0.3811881188118812,0.29455445544554454,0.07920792079207921
dartsviz_pdc_2017,Raymond van Barneveld,A gaussian iid,15000,-0.14693769732770923,1.473978243303603,1.2609802417566485,-0.14693769732770923,0.0055661193620747135,-0.006566935305535044,0.0,0.2850666666666667,0.3682,0.43406666666666666,0.17206666666666667,0.025666666666666667
dartsviz_pdc_2017,Raymond van Barneveld,B + aim rule,15000,2.722848478726361,7.539373334998564,2.6267844612585467,-0.03195485193372982,-0.006680858840908498,-0.0030743411776066065,0.14266666666666666,0.1779777777777778,0.5024666666666666,0.3868,0.10126666666666667,0.009466666666666667
dartsviz_pdc_2017,Raymond van Barneveld,C + wide tail,15000,3.2708121825811673,8.494931558468371,2.895975165472142,0.04912667517371072,0.0011126140717594428,-0.0017083131306675561,0.1022,0.3426,0.25046666666666667,0.4371333333333333,0.25993333333333335,0.05246666666666667
dartsviz_pdc_2017,Raymond van Barneveld,D + shared offset,15000,3.909425378256209,8.743514332201151,3.4924627972051034,0.2177700984566211,0.000981477358207587,0.0022588956818398844,0.09873333333333334,0.3456222222222222,0.24813333333333334,0.4321333333333333,0.2652,0.054533333333333336
dartsviz_pdc_2017,Raymond van Barneveld,E + shared scale,15000,3.990405572284911,8.896660036756444,3.929115170443737,0.5109218483583866,-0.005965287213862792,0.007402169119816269,0.10396666666666667,0.3495111111111111,0.24173333333333333,0.43233333333333335,0.2696,0.05633333333333333
dartsviz_pdc_2017,Daryl Gurney,OBSERVED,378,33.49789502377563,41.47058823529412,26.913408244237818,24.369264318381433,0.021712086830576387,0.020916365614939404,0.15343915343915343,0.35008818342151676,0.2777777777777778,0.3492063492063492,0.24338624338624337,0.12962962962962962
