band,sigma_true,n,method,bias_pct,sd,rmse,n_ok
county,10.0,200,T20,-3.4242590697207476,0.8849854147132965,0.9468572701836522,200
county,10.0,200,bull,0.14292058065285218,0.43289265772304947,0.43204552511131755,200
county,10.0,200,robust (all darts),-0.9045647702179238,0.5092537922016521,0.5159700591920028,200
county,10.0,200,stage 1 only,-3.5059693613697007,1.311981038814991,1.354845373689427,200
county,10.0,200,two stage,-0.3420088532332066,0.4473398556612657,0.44752886196046143,200
county,10.0,200,oracle,-0.48888331505986926,0.4559481431084399,0.4574268625861989,200
league,16.0,200,T20,-4.550337780132086,1.434241119373692,1.6052492151501594,200
league,16.0,200,bull,1.1306204250157492,0.9080088692846178,0.9236245185841914,200
league,16.0,200,robust (all darts),-0.1715639170200678,0.8714204981257245,0.869672542442311,200
league,16.0,200,stage 1 only,0.16430298881955352,1.968948150790307,1.9641955402873523,200
league,16.0,200,two stage,-0.6721230979643056,0.7961549678112834,0.8014101354814845,200
league,16.0,200,oracle,-1.4693687131235533,0.9448472128972086,0.9713619878643327,200
pub,28.0,200,T20,-0.9254367707937305,1.464996443414683,1.4841252880110136,200
pub,28.0,200,bull,-0.010533037950644086,2.108661651145259,2.1033854585631357,200
pub,28.0,200,robust (all darts),-0.11451797304130754,1.4951579753525086,1.4917600513185865,200
pub,28.0,200,stage 1 only,-2.4014395008821663,2.9041526061541427,2.973896051220062,200
pub,28.0,200,two stage,-0.9196948408852101,1.2737598404973218,1.296404858396849,200
pub,28.0,200,oracle,-1.122311496193237,1.633887409674662,1.659816689205085,200
