design,k,n,band,sigma_true,sigma_hat,aim_error_mm
best 1,1,100,league,16.0,17.098148514842695,3.0649573680764823
best 1,1,100,league,16.0,16.719008019133533,4.298562316564158
best 1,1,100,league,16.0,17.747851322060317,3.1646952492474325
best 1,1,100,league,16.0,15.972348044616954,7.345684780966802
best 1,1,100,league,16.0,14.94162978222183,4.832761931683258
best 1,1,100,league,16.0,15.699640835091294,3.347442840598489
best 1,1,100,league,16.0,14.359486672044829,1.9563467023683758
best 1,1,100,league,16.0,14.950948143077083,3.219200443605061
best 1,1,100,league,16.0,15.543390442439126,5.693835468998372
best 1,1,100,league,16.0,15.810721802958202,9.812587534630637
best 1,1,100,league,16.0,15.493851254894244,2.2101335914327045
best 1,1,100,league,16.0,15.289086185983477,1.0334622206697603
best 1,1,100,league,16.0,16.03512607241655,7.552241950829732
best 1,1,100,league,16.0,15.821338149162262,6.433261820721273
best 1,1,100,league,16.0,13.69106716282938,2.2239396512892666
best 1,1,100,league,16.0,15.412564375985543,3.5678177397551556
best 1,1,100,league,16.0,15.794464254509219,2.1133423195236185
best 1,1,100,league,16.0,15.90345004264253,2.7161811125101347
best 1,1,100,league,16.0,11.151984510227566,14.07427282875778
best 1,1,100,league,16.0,16.670055098262683,2.5029879217703934
best 1,1,100,league,16.0,16.281452500333753,1.9135096971284995
best 1,1,100,league,16.0,15.986144833776246,2.695320104472846
best 1,1,100,league,16.0,15.777939491671043,0.3608478876825129
best 1,1,100,league,16.0,15.043758731863736,1.54721181282676
best 1,1,100,league,16.0,15.966392019027959,2.9790934472401194
best 1,1,100,league,16.0,10.100987106128702,21.054966833931676
best 1,1,100,league,16.0,18.4652028008626,4.918392989992349
best 1,1,100,league,16.0,14.761781836476185,4.2034338015780515
best 1,1,100,league,16.0,15.25855935743125,1.908541454519785
best 1,1,100,league,16.0,14.652998509407446,3.593502298942345
best 1,1,100,league,16.0,14.618405311022633,3.2665334876656886
best 1,1,100,league,16.0,15.839183579868916,1.3338530043185166
best 1,1,100,league,16.0,17.09739799433911,4.679641577170566
best 1,1,100,league,16.0,15.026526387554862,3.0781878922201917
best 1,1,100,league,16.0,12.01414135388713,8.24779583668736
best 1,1,100,league,16.0,15.874417564471134,1.7014213355973207
best 1,1,100,league,16.0,10.087560837576659,16.34947692939902
best 1,1,100,league,16.0,16.929832022354383,0.7724376969317605
best 1,1,100,league,16.0,15.340525157496721,3.8689596047246075
best 1,1,100,league,16.0,16.553114228028004,2.9719930869082116
best 1,1,100,league,16.0,17.144381038533197,3.828661322456819
best 1,1,100,league,16.0,15.248755068854914,4.217565047853597
best 1,1,100,league,16.0,15.23549897208511,3.1572281266603004
best 1,1,100,league,16.0,14.853063184268231,1.692411138588842
best 1,1,100,league,16.0,13.930794513918006,3.241331654676372
best 1,1,100,league,16.0,17.360103005910766,3.242917663023689
best 1,1,100,league,16.0,15.68801439185111,3.8459759133800753
best 1,1,100,league,16.0,14.624998982686455,7.887549437530861
best 1,1,100,league,16.0,15.031743434213602,2.311836108557141
best 1,1,100,league,16.0,15.946387129699223,4.017734133912317
best 1,1,100,league,16.0,16.407053812583094,11.22797414824214
best 1,1,100,league,16.0,16.50589202035737,3.0488681936149287
best 1,1,100,league,16.0,18.663682211578582,9.315136066134569
best 1,1,100,league,16.0,15.003272333900428,5.745218096884715
best 1,1,100,league,16.0,15.373355203185124,4.085675429456772
best 1,1,100,league,16.0,9.795326280113075,15.181810789551896
