iteration,marginal,held_out_vs_no_pooling
21,-22674.703337,5.4289
22,-22674.662232,5.3789
23,-22674.629715,5.3346
24,-22674.490690,4.6487
25,-22674.490679,4.6487
26,-22674.386459,4.6135
27,-22674.323310,4.5452
28,-22674.250392,4.5870
29,-22674.219656,4.5275
30,-22674.203192,4.5048
31,-22674.203195,4.5049
32,-22674.190922,4.4925
33,-22674.180390,4.4824
34,-22674.166975,4.6590
35,-22674.079783,4.4241
36,-22674.079826,4.4241
37,-22674.061403,4.3506
38,-22674.054001,4.3197
39,-22674.047951,4.3035
40,-22674.043058,4.2922
41,-22674.039848,4.2859
42,-22674.039842,4.2859
43,-22674.036998,4.2810
44,-22674.034363,4.2770
45,-22673.983211,4.0561
46,-22673.983177,4.0561
47,-22673.959752,4.0091
48,-22673.951872,3.9987
49,-22673.948333,4.0108
50,-22673.945400,4.0142
51,-22673.945422,4.0142
52,-22673.944477,4.0204
53,-22673.944048,4.0263
54,-22673.942215,4.0690
55,-22673.939821,4.0556
56,-22673.939892,4.0556
57,-22673.938728,4.0488
58,-22673.937753,4.0446
59,-22673.930446,4.0548
60,-22673.927634,4.0346
61,-22673.926487,4.0256
62,-22673.926449,4.0256
63,-22673.925668,4.0207
64,-22673.925053,4.0176
65,-22673.916712,4.0950
