iteration,marginal,held_out_vs_no_pooling
1,-22553.067300,3.8470
2,-22535.846689,12.7697
3,-22523.320163,15.6315
4,-22521.156831,16.0214
5,-22521.160623,16.0288
6,-22519.472047,15.5308
7,-22518.409422,15.7410
8,-22517.907473,15.7626
9,-22516.692085,15.3369
10,-22516.693182,15.3801
11,-22515.619609,14.7501
12,-22514.652396,14.6582
13,-22510.770150,11.4156
14,-22510.357005,11.8781
15,-22510.357161,11.8781
16,-22510.029791,12.2342
17,-22509.891309,11.9810
18,-22509.781486,12.0652
19,-22509.610316,11.9676
20,-22509.610410,11.9685
21,-22507.901488,11.9667
22,-22504.684943,11.8603
23,-22504.142177,11.9015
24,-22503.933511,11.8577
25,-22503.933588,11.8578
26,-22503.740709,11.8617
27,-22503.625341,11.8398
28,-22503.343093,12.0232
29,-22503.308695,12.0053
30,-22503.308673,12.0067
31,-22503.271553,12.0033
32,-22503.261204,12.0477
33,-22503.258097,12.1171
34,-22503.258207,12.1174
35,-22503.258202,12.1174
36,-22503.258208,12.1174
