player,n_train,n_test,rho,rho_other_half,ratio,ratio_other_half
Peter Wright,650,653,-0.0282582860047114,0.025863528618079158,1.0733191659350731,1.079564988334184
Michael van Gerwen,530,542,-0.0866030949039822,-0.07672772870114747,1.1126195118161075,1.280315493324814
Raymond van Barneveld,389,404,-0.0243071679821113,-0.0695219829977187,1.4213577476995627,1.393732596251577
Daryl Gurney,367,378,0.1731108840932052,0.08394861086759824,1.2118486791821623,1.129010119989601
Gary Anderson,348,347,0.0969346434801828,0.039983830365256996,1.1641651551982894,1.0723868136180585
Phil Taylor,338,329,-0.170981393457728,-0.02925827591120797,1.244313397170304,1.1658006825767722
Dave Chisnall,307,299,0.0462986851575287,-0.026276398204147684,1.1222140510705103,1.3873021955201288
Gerwyn Price,285,279,0.2003186908578526,0.024297602011876942,1.285055062658496,1.2076940066720203
James Wade,275,272,0.2754021230684477,0.04355124343296292,1.7178208844664111,1.1152467040264704
Mensur Suljovic,263,282,0.0482377654751433,-0.07400231836332936,1.5801348119795824,1.6295019033915976
Simon Whitlock,266,275,-0.187001775590832,-0.012176998085590168,1.249331001886668,1.0299825132869203
Michael Smith,264,270,0.015039569148818,0.16034892350724644,1.091364588320506,1.1835090325972613
Jelle Klaasen,257,263,-0.2985431885809563,-0.20783159546216162,1.4415928012286447,1.2736918290904902
Adrian Lewis,257,255,0.2081907980093716,-0.1864353806406245,1.3113327072730183,1.2082298944657115
Kim Huybrechts,219,215,-0.1307340197466399,-0.051667278519820704,1.1494945422701055,1.0773323875444318
Alan Norris,210,207,0.3085563575905804,0.20433976614298593,1.3916376797705456,1.331642645299097
Rob Cross,204,199,-0.2137650648243213,0.0307076211705577,1.2532249603952172,1.036490122265068
