sigma_mm,best_target,best_row,best_col,best_x_mm,best_y_mm,best_r_mm,se_best1,pair_targets,pair_x_mm,pair_y_mm,se_best2,se_optimal,certificate,se_bull
5.0,BULL,256,256,0.0,0.0,0.0,0.22208078232948603,BULL + BULL,0.0;0.0,0.0;0.0,0.22208078232948603,0.22208078233067038,1.0000000000033746,0.22208078232948603
5.5,BULL,256,256,0.0,0.0,0.0,0.240067484098861,BULL + BULL,0.0;0.0,0.0;0.0,0.240067484098861,0.24006748410136924,1.0000000000050566,0.240067484098861
6.0,BULL,256,256,0.0,0.0,0.0,0.25623339874777334,BULL + BULL,0.0;0.0,-3.5;3.5,0.2874258378822834,0.2562333987523659,1.0000000000065017,0.25623339874777334
6.5,BULL,256,256,0.0,0.0,0.0,0.2723320940932295,BULL + BULL,0.0;0.0,0.0;0.0,0.2723320940932295,0.2723320941009203,1.000000000008289,0.2723320940932295
7.0,BULL,256,256,0.0,0.0,0.0,0.28951937864443283,BULL + BULL,0.0;0.0,0.0;0.0,0.28951937864443283,0.2895193786563187,1.0000000000094011,0.28951937864443283
7.5,BULL,256,256,0.0,0.0,0.0,0.30837768848918146,BULL + BULL,0.0;0.0,0.0;0.0,0.30837768848918146,0.30837768850687036,1.0000000000114404,0.30837768848918146
8.0,BULL,256,256,0.0,0.0,0.0,0.3291439497714,BULL + BULL,0.0;0.0,0.0;0.0,0.3291439497714,0.32914394979665684,1.0000000000130813,0.3291439497714
8.5,BULL,256,256,0.0,0.0,0.0,0.35188301604888955,BULL + BULL,0.0;0.0,0.0;0.0,0.35188301604888955,0.35188301608389944,1.0000000000144267,0.35188301604888955
9.0,BULL,256,256,0.0,0.0,0.0,0.37658400068019593,BULL + BULL,0.0;0.0,0.0;0.0,0.37658400068019593,0.37658400072794096,1.0000000000171938,0.37658400068019593
9.5,BULL,256,256,0.0,0.0,0.0,0.40320738197655387,BULL + BULL,0.0;0.0,0.0;0.0,0.40320738197655387,0.40320738204019424,1.0000000000192093,0.40320738197655387
10.0,BULL,256,256,0.0,0.0,0.0,0.4317063709649043,BULL + BULL,0.0;0.0,0.0;0.0,0.4317063709649043,0.43170637104855486,1.0000000000220535,0.4317063709649043
10.5,BULL,256,256,0.0,0.0,0.0,0.46203588189898803,BULL + BULL,0.0;0.0,0.0;0.0,0.46203588189898803,0.4620358820072472,1.0000000000244802,0.46203588189898803
11.0,BULL,256,256,0.0,0.0,0.0,0.4941557966417896,BULL + BULL,0.0;0.0,0.0;0.0,0.4941557966417896,0.4941557967804965,1.0000000000282192,0.4941557966417896
11.5,BULL,256,256,0.0,0.0,0.0,0.528031712028925,BULL + BULL,0.0;0.0,0.0;0.0,0.528031712028925,0.5280317122046587,1.0000000000322613,0.528031712028925
12.0,BULL,256,256,0.0,0.0,0.0,0.5636346506303745,BULL + BULL,0.0;0.0,0.0;0.0,0.5636346506303745,0.5636346508505509,1.000000000035759,0.5636346506303745
12.5,BULL,256,256,0.0,0.0,0.0,0.6009404064730351,BULL + BULL,0.0;0.0,0.0;0.0,0.6009404064730351,0.5999015894218515,1.0000418376341746,0.6009404064730351
13.0,BULL,256,256,0.0,0.0,0.0,0.639928819538244,2 + 4,81.0;109.2,-112.8;81.0,0.6198080179884284,0.6136480414017197,1.000121349340346,0.639928819538244
13.5,9,348,132,-109.2265625,81.0390625,136.00651310303235,0.6576534900750368,18 + 7,81.0;-81.0,112.8;-112.8,0.6353180970746863,0.6292598402109885,1.000131537289208,0.680583098346587
14.0,9,348,132,-109.2265625,81.0390625,136.00651310303235,0.6746231392868662,18 + 7,81.0;-81.0,112.8;-112.8,0.65165244251084,0.646670139951916,1.000121820041844,0.7228892308755509
14.5,9,348,132,-109.2265625,81.0390625,136.00651310303235,0.6941210735408114,18 + 7,81.0;-81.0,112.8;-112.8,0.6699865014573533,0.6658019887570338,1.000132072546894,0.7668354659723534
