band,sigma_mm,nu,scale_mm,objective,aiming_points,value_501,seconds,path,three_dart_average,darts_from_170,darts_from_40
elite,6.5,2.25,5.0925,darts,29377,14.8985,8.8,results/student_t/elite_nu2.25_darts.npz,100.88,6.034,2.104
elite,6.5,2.25,5.0925,visits,29377,5.293,8.9,results/student_t/elite_nu2.25_visits.npz,,,
pro,8.0,2.25,6.3445,darts,29497,16.8122,8.7,results/student_t/pro_nu2.25_darts.npz,89.4,7.002,2.562
pro,8.0,2.25,6.3445,visits,29497,5.9455,9.1,results/student_t/pro_nu2.25_visits.npz,,,
county,10.0,2.25,8.1529,darts,29677,19.6166,9.2,results/student_t/county_nu2.25_darts.npz,76.62,8.378,3.289
county,10.0,2.25,8.1529,visits,29677,6.9093,9.4,results/student_t/county_nu2.25_visits.npz,,,
super_league,13.0,2.25,11.0909,darts,29901,24.2835,10.4,results/student_t/super_league_nu2.25_darts.npz,61.89,10.672,4.622
super_league,13.0,2.25,11.0909,visits,29901,8.5441,10.0,results/student_t/super_league_nu2.25_visits.npz,,,
league,16.0,2.25,14.1359,darts,30181,29.2135,10.9,results/student_t/league_nu2.25_darts.npz,51.45,13.204,6.221
league,16.0,2.25,14.1359,visits,30181,10.3185,13.5,results/student_t/league_nu2.25_visits.npz,,,
club,20.0,2.25,18.0211,darts,30533,35.3145,10.7,results/student_t/club_nu2.25_darts.npz,42.56,16.677,8.623
club,20.0,2.25,18.0211,visits,30533,12.6016,10.4,results/student_t/club_nu2.25_visits.npz,,,
pub,28.0,2.25,24.2367,darts,31077,44.8791,11.2,results/student_t/pub_nu2.25_darts.npz,33.49,22.86,13.377
pub,28.0,2.25,24.2367,visits,31077,16.3736,11.7,results/student_t/pub_nu2.25_visits.npz,,,
elite,6.5,3.0,5.4108,darts,29401,14.913,8.8,results/student_t/elite_nu3_darts.npz,100.78,6.068,2.125
elite,6.5,3.0,5.4108,visits,29401,5.2944,8.8,results/student_t/elite_nu3_visits.npz,,,
pro,8.0,3.0,6.7064,darts,29513,16.8248,8.8,results/student_t/pro_nu3_darts.npz,89.33,7.035,2.59
pro,8.0,3.0,6.7064,visits,29513,5.9472,9.1,results/student_t/pro_nu3_visits.npz,,,
county,10.0,3.0,8.5597,darts,29717,19.6215,9.2,results/student_t/county_nu3_darts.npz,76.6,8.399,3.318
county,10.0,3.0,8.5597,visits,29717,6.9078,11.2,results/student_t/county_nu3_visits.npz,,,
super_league,13.0,3.0,11.5302,darts,29953,24.267,9.8,results/student_t/super_league_nu3_darts.npz,61.94,10.664,4.641
super_league,13.0,3.0,11.5302,visits,29953,8.5339,9.3,results/student_t/super_league_nu3_visits.npz,,,
league,16.0,3.0,14.6017,darts,30213,29.1935,10.3,results/student_t/league_nu3_darts.npz,51.48,13.186,6.237
league,16.0,3.0,14.6017,visits,30213,10.3061,11.9,results/student_t/league_nu3_visits.npz,,,
club,20.0,3.0,18.6206,darts,30573,35.3758,12.7,results/student_t/club_nu3_darts.npz,42.49,16.748,8.726
club,20.0,3.0,18.6206,visits,30573,12.6282,10.7,results/student_t/club_nu3_visits.npz,,,
pub,28.0,3.0,25.2507,darts,31141,45.3714,10.6,results/student_t/pub_nu3_darts.npz,33.13,23.348,13.887
pub,28.0,3.0,25.2507,visits,31141,16.6018,10.5,results/student_t/pub_nu3_visits.npz,,,
elite,6.5,5.0,5.8222,darts,29433,14.9409,6.9,results/student_t/elite_nu5_darts.npz,100.6,6.118,2.156
elite,6.5,5.0,5.8222,visits,29433,5.2997,8.1,results/student_t/elite_nu5_visits.npz,,,
pro,8.0,5.0,7.1814,darts,29557,16.847,8.6,results/student_t/pro_nu5_darts.npz,89.21,7.079,2.628
pro,8.0,5.0,7.1814,visits,29557,5.952,8.3,results/student_t/pro_nu5_visits.npz,,,
county,10.0,5.0,9.0876,darts,29741,19.6251,9.3,results/student_t/county_nu5_darts.npz,76.59,8.416,3.351
county,10.0,5.0,9.0876,visits,29741,6.9044,9.7,results/student_t/county_nu5_visits.npz,,,
super_league,13.0,5.0,12.0787,darts,29993,24.2356,8.7,results/student_t/super_league_nu5_darts.npz,62.02,10.639,4.647
super_league,13.0,5.0,12.0787,visits,29993,8.5136,9.4,results/student_t/super_league_nu5_visits.npz,,,
league,16.0,5.0,15.1446,darts,30269,29.1353,9.6,results/student_t/league_nu5_darts.npz,51.59,13.127,6.219
league,16.0,5.0,15.1446,visits,30269,10.2717,11.1,results/student_t/league_nu5_visits.npz,,,
club,20.0,5.0,19.2716,darts,30621,35.3786,10.5,results/student_t/club_nu5_darts.npz,42.48,16.755,8.774
club,20.0,5.0,19.2716,visits,30621,12.617,10.8,results/student_t/club_nu5_visits.npz,,,
pub,28.0,5.0,26.4415,darts,31261,45.9136,11.7,results/student_t/pub_nu5_darts.npz,32.74,23.895,14.467
pub,28.0,5.0,26.4415,visits,31261,16.836,13.2,results/student_t/pub_nu5_visits.npz,,,
